question,A,B,C,D,correct_answer
Which gas is commonly used in balloons and airships?,A. Helium,B. Hydrogen,C. Carbon,D. Chlorine,A
Which ocean is called “Ring of Fire”?,A. Indian Ocean,B. Pacific Ocean,C. Atlantic Ocean,D. Antarctic Ocean,B
How many pounds in a kg?,A. 2.20,B. 2.30,C. 2.40,D. 2.50,A
How many grams in a pound?,A. 451,B. 453,C. 455,D. 457,B
How many ounces in a pound?,A. 10,B. 12,C. 14,D. 16,D
Where is the dirtiest skin of our body is located?,A. Feet,B. Hands,C. Face,D. None of these,C
How many grams in an ounce?,A. 20,B. 24,C. 28,D. 32,C
Which body part gets older first?,A. Face,B. Feet,C. Hands,D. None of these,C
Which water will freeze first?,A. Hot,B. Cold,C. Both,D. None,A
How many ounces in a kg?,A. 28,B. 30,C. 33,D. 35,D
"Which of the following is called smallest, shallowest and coldest ocean of the world?",A. Pacific Ocean,B. Indian Ocean,C. Arctic Ocean,D. None of the above,C
What does Angstrom measure?,A. Quantity,B. Speed,C. Length,D. None of these,C
Which of the following ocean is the least polluted ocean of the world?,A. Arctic Ocean,B. Indian Ocean,C. South Pacific,D. None of the above,C
Which planet in our solar system has the most gravity?,A. Jupiter,B. Mercury,C. Venus,D. Neptune,A
Which of the following ocean is the most polluted ocean of the world?,A. Indian Ocean,B. North Pacific Ocean,C. Arctic Ocean,D. None of the above,B
Smallest animal is _________?,A. Skunk,B. Gorilla,C. Tiger,D. Cat,A
Which of the following ocean is the warmest ocean of the world?,A. Indian Ocean,B. Arctic Ocean,C. North Pacific Ocean,D. None of the above,A
Which gas does a Photocopier machine produce?,A. Ozone,B. carbon dioxide,C. Sulfur dioxide,D. None of these,A
Which is the most abundant element in the atmosphere?,A. Nitrogen,B. Hydrogen,C. Nickle,D. Oxygen,A
What was the first planet to be discovered using a telescope?,A. Uranus,B. Jupiter,C. Venus,D. Mercury,A
Arthritis is a disease of ?,A. Lungs,B. Blood,C. Disorder of the Joints,D. Liver,C
A summary value calculated from population is called?,A. Parameter,B. Sample,C. Statistic,D. Population,A
Which Part of an egg contains Protein?,A. White,B. Yellow,C. Shell,D. None of these,A
How many number of milk teeth are in the human body?,A. 16,B. 12,C. 22,D. 20,D
Plasmids are most often found in:,A. Bacteria,B. Virus,C. Fungi,D. Viroid,A
"Of the six noble gases in the periodic table, which is the lightest?",A. Nitrogen,B. Hydrogen,C. Helium,D. Oxygen,C
Development of calf muscles in ladies who wear high heels is a common example of:,A. Natural Selection,B. inheritance of acquired character,C. Use and disuse of organ,D. Artificial selection,B
"As you go down into a well, your weight__________?",A. Slightly increases,B. Slightly decreases,C. Remains the same,D. None of these,B
Mycology is a study of_______?,A. Virus,B. Bacteria,C. Anti virus,D. Fungi,D
Father of Homeopathy is__________?,A. Samuel Hahnemann,B. Robert Dover,C. Hakeem Suleman,D. Dr Anwaar Khan,A
There are ______types of respiration takes place in frog.,A. 1,B. 2,C. 3,D. None of these,C
How many moons does Saturn have?,A. 7,B. 13,C. 27,D. 82,D
Instrument of rain gauge is _________?,A. Drosometer,B. Ombrometer,C. Micrometer,D. Pyrometer,B
Speed of object in one direction is called___?,A. Velocity,B. Acceleration,C. Space,D. Temperature,A
The difference in the duration of day and night increases as one moves from:_________?,A. West to East,B. East and west of the prime meridian,C. Equator to poles,D. None of these,C
The color of blood is red due to __________?,A. Haemoglobin,B. Neutrophils,C. Esinophils,D. Hematocrit,A
What is total area of the earth?,A. 510.94 million km²,B. 492.102 million km²,C. 392.023 million km²,D. 692.192 million km²,A
Which of the following is not a fat soluble vitamin?,A. Vitamin A,B. Vitamin D,C. Vitamin B complex,D. Vitamin K,C
The Doppler’s effect is applicable for_________?,A. light waves only,B. sound waves only,C. Both Light waves and sound ways,D. None of these,C
SONAR is based on the principle of___________?,A. Echo,B. reverberation,C. resonance,D. None of these,A
Which planet is losing its atmosphere at faster than the earth?,A. Mecury,B. Venus,C. Mars,D. Jupiter,C
Underground water and the water on the earth’s surface is called ?,A. Mezosphere,B. Ionosphere,C. Hydrosphere,D. None of these,C
Short sightedness is due to__________?,A. Shifting of the iris,B. Elongation of eyeballs,C. Weakening of the retina,D. Weaker muscles,B
First controlled fission of an atom was carried out in ________ on 1938.,A. U.S,B. Germany,C. Russia,D. U.K,B
"Lignite, bituminous & anthracite are different rank of _________ ?",A. Iron,B. Coal,C. Wood,D. None of these,B
which of the following is the most severe storm?,A. Hurricane,B. Tornado,C. Typhoon,D. None of these,B
Scientific study of the Algae is known as ___________?,A. Phycology,B. Pomology,C. Oneriology,D. Trichology,A
The Scientific Study of Caves are know as _________ ?,A. Haematology,B. Speleology,C. Oology,D. Oneriology,B
The scientific study of spiders is called __________ ?,A. Arachnology,B. Osteology,C. Pomology,D. None of these,A
The nearest Star to the planet earth is ________ ?,A. Regel,B. Canopus,C. Sun,D. Betelgeuse,C
Which Civilization developed & implemented the first solar calendar?,A. Babylonian,B. Greek,C. Egyptian,D. Aztec,C
The mean distance of the earth from the sun is astronomical units is____________?,A. 3.7 AU,B. 10 AU,C. 1 AU,D. 101 AU,C
The first and largest asteroid discovered was__________?,A. Pallas,B. Juno,C. Ceres,D. Trojan,C
which of the following planets has no moons ?,A. Mars,B. Neptune,C. Venus,D. None of these,C
A pulsar is actually a___________?,A. Black hole,B. White dwarf,C. Red giant,D. Neutron star,D
The andromeda Galaxy is which type of the following types of galaxies ?,A. Elliptical,B. Spiral,C. Irregular,D. None of these.,B
Animal without red blood cells is_________ ?,A. Frog,B. Earthworm,C. Snake,D. Crocodile,B
Nuclear sizes are expressed in a unit named ?,A. Tesla,B. Force,C. Fermi,D. Newton,C
Which types of waves are used in a night vision apparatus  ?,A. Radio Waves,B. Micro Waves,C. Infrared Waves,D. Magnetic waves,C
The ________ system is the closest star system to our sun.?,A. Promixa Centauri,B. Alpha Centauri,C. Red proxima Centauri,D. None of these,B
Hen and chicken disorder is associated with__________ ?,A. Mango,B. Grapes,C. Tomato,D. Guava,B
In onion pink color is due_____ ?,A. anthocyanin,B. Carotene,C. Xanthophylls,D. None of these,A
Red color of tomato is due to___________?,A. Anthocyanin,B. Xanthophyll’s,C. Lycopene,D. None of these,C
vitamin D is chemically know as_________ ?,A. Retinol,B. Calciferol,C. Tocopherol,D. None of these.,B
SI unit of light is _________ ?,A. watt,B. Pascal,C. Candela,D. Joule,C
Which of the following is the flightless bird?,A. Pavo cristatus,B. kakapo,C. Passer,D. None of these,B
How many planets in Solor Syestem?,A. 4,B. 5,C. 6,D. 8,D
Which planet is called “Lopsided planet” ?,A. Mercury,B. Venus,C. Uranus,D. Saturn,C
Corona disease is a ________  disease?,A. Infectious diseases,B. Deficiency disease,C. Hereditary disease,D. Physiological diseases,A
which is the second brightest star in the Universe?,A. Betelgeuse,B. Vega,C. Canopus,D. None of these,C
Which is the biggest star in the Universe?,A. UY Scuti,B. Rigel,C. Canopus,D. Arcturus,A
What is the average distance of the moon from earth?,"A. 384,400 km","B. 350,000 km","C. 380,200 km","D. 384,500 km",A
The human eye forms the image of an object at its________?,A. Cornea,B. Pupil,C. Iris,D. Retina,D
Diabetes could be classified into______ types.,A.  Two types,B.  Three types,C.  Four types,D. None of these,B
Water has high density and minimum volume at__________?,A. 0°C,B. 4°C,C. 100°C,D. None of these,B
The principal constituent of the atmosphere of the Earth is?,A. Oxygen,B. Carbon,C. Hydrogen,D. Nitrogen,D
Reflex actions in head region are under the control of___________?,A. Brain,B. Spinal cord,C. both a & b,D. non of the above,B
The side view mirrors of vehicles are of which type of mirrors?,A. Convex,B. Concave,C. Plane,D. Inverted,A
B12 deficiency can produce__________?,A. Insomnia,B. Microcytic anemia,C. Pernicious anemia,D. None Of these,C
Farad is the unit of___________?,A. inductance,B. voltage,C. capacitance,D. None of these,C
What is the nature of pH of Milk?,A. Slightly Acidic,B. Slightly Basic,C. Highly Acidic,D. Highly Basic,A
Moon is the _______ satellite of the Earth?,A. Natural,B. Artificial,C. Navigation,D. None of these,A
One Gross is equal to___________?,A. 5 Dozen,B. 10 Dozen,C. 12 Dozen,D. None of them,C
Temperature of Sun in Celsius Scale is 6000ºC  & in Fahrenheit is _____________?,A. 8000 F,B. 9000 F,"C. 10,832 F",D. None of these,C
Which of the following is caused by bacteria?,A. Malaria,B. Tetanus,C. Cancer,D. None of these,B
Liquids which evaporate quickly are known as___________?,A. Evaporation,B. Volatile,C. Condense,D. None,B
The over-cooking of food should be avoided because____________?,A. Make the food difficult to digest,B. Reduce the nutrition value of food,C. Make food Poison,D. None,A
Which component of diet helps in preventing constipation ?,A. Proteins,B. Fats,C. Fiber,D. Carbohydrates,C
The size of Covid-19 virus is______?,A. 25-30KB,B. 28-30KB,C. 29-30KB,D. None of these,C
Which Part of Human Eye can be donated?,A. Conjunctiva,B. Iris,C. Pupil,D. Cornea,D
In the manufacture of Vanaspati Ghee/Banaspati Ghee which gas is used ?,A. Hydrogen,B. Oxygen,C. Nitrogen,D. Carbon dioxide,A
How many milky teeth or primary teeth does a human have?,A. 33,B. 20,C. 15,D. 32,B
Gales occur when the  wind moves at the speed of _____ ?,A. 35 km/h,B. 55 km/h,C. 75 km/h,D. 100 km/h,D
Which layer of the atmosphere lies close to the earth?,A. Stratosphere,B. Mesosphere,C. Troposphere,D. Thermosphere,C
Balloons are filled with _________ ?,A. Nitrogen,B. Helium,C. Oxygen,D. Argon,B
"When  sugar is added to water, its boiling point:__________?",A. Increase,B. Decrease,C. Remain unchanged,D. None of the above,A
Highly intelligent Mammals are_________?,A. rat,B. dolphin,C. bat,D. Elephant,B
For glavinizing of iron which of the following metals is used ?,A. Aluminimum,B. Copper,C. Zinc,D. Lead,C
Which of the following is the lightest substance?,A. Uranium,B. Hydrogen,C. Oxygen,D. Nitrogen,B
___________ is a mammal who fly?,A. Ostrich,B. Bat,C. Peacock,D. None of these,B
Which of these is NOT a form of energy?,A. Heat,B. Light,C. Temperature,D. Electricity,C
Which of these is NOT an example of a renewable energy source?,A. Wind energy,B. solar,C. Coal,D. Hydroelectric power,C
"For the generation of biogas, the materials commonly used are__________?",A. Animal wastes,B. Forest residues,C. Aquatic plants,D. None of these,A
Who discovered that the earth was not the center of the universe?,A. Aristotle,B. Nicolaus Copernicus,C. Sir Isac Newton,D. None,B
Vitamin C is essential for___________?,A. Appetite,B. Growth & repairing of tissues,C. Muscles,D. Brain,B
Human eye is how many Megapixels?,A. 1080 MP,B. 720 MP,C. 576 MP,D. 570 MP,C
Permanent hardness of water may be removed by the addition of___________?,A. Sodium Carbonate,B. Alum,C. Potassium Permanganate,D. Lime,A
"In radiation, which of the following has strong photons?",A. X-Rays,B. Gamma,C. Microwave,D. Electromagnetic,B
Medium sized kidney stones are removed by__________?,A. Dialysis,B. Lithotripsy,C. Excretion,D. Laser,B
Accumulation of salts in kidneys results in_________?,A. Diabetes,B. Hypertension,C. Cancer,D. Kidney Stone,D
The apart of neuron which receives message are__________?,A. Cell Bodies,B. Axons,C. Nuclei,D. Dendrites,D
Sensory neurons carry message towards ?,A. Muscle,B. Muscles and Glands,C. Sense and Organs,D. Brain and Spinal Cord,D
Identify the blackest fish in the oceans?,A. Black Seafish,B. Black Dragon fish,C. Black Sea Horse,D. Black Gillfish,B
What is the percentage of water present in our brain?,A. 85%,B. 95%,C. 97%,D. 73%,D
Speed of sound in air is _______km/h?,A. 1347,B. 243,C. 1235,D. 1495,C
Inflammation of liver is caused by____________?,A. Cholera,B. Hepatitis,C. Typhoid,D. Jaundice,B
Crude Oil is heated in the furnace up to _________?,A. 300°C,B. 350°C,C. 400°C,D. 450°C,C
Sunsets on Mars are _________?,A. Red,B. Blue,C. Yellow,D. Orange,B
Which gas is used for artificial ripening of green fruit ?,A. Carbon dioxide,B. Acetylene,C. Ethane,D. Ethylene,D
A force applied on a body through the string is called_________?,A. Weight,B. Momentum,C. Tension,D. Torque,C
Only planet whose day is longer than its year is__________?,A. Mercury,B. Neptune,C. Venus,D. None of These,C
Milk contains water,A. 70%,B. 75%,C. 87%,D. 90%,C
Which of the following disease affects the skin ?,A. Rickets,B. Osteoporosis,C. Anemia,D. Pellagra,D
An ordinary mobile phone communicate by using___________?,A. Sound waves,B. Infrared waves,C. UV waves,D. Radio waves,D
Symbol of Iron is__________?,A. Na,B. Fr,C. Fe,D. Zn,C
Carbon dioxide was discovered by_______?,A. Niels Bohr,B. Amedeo Avogadro,C. Joseph Black,D. None of Above,C
Molasses is a byproduct of ______ Factory ?,A. Fertilizer,B. Cotton seed oil,C. Sugar,D. Banaspati Ghee,C
Which of the following is solid?,A. Water,B. Stone,C. Both,D. None,B
What is the name of the Active asteroid discovered near Jupiter?,A. 2019 Jup1036,B. 2019 JR10A,C. 2019 LD2,D. 2019 AA1,C
An active asteroid is discovered near ________ Orbit for the first time in billion years.,A. Saturn,B. Mars,C. Neptune,D. Jupiter,D
Radiations are harmful as it:___________?,A. Causes skin cancer,B. Causes anemia,C. Alters body tissue,D. is unstable,A
Most soluble in water is:__________?,A. Camphor,B. Sulphur,C. Common salt,D. Sugar,D
"Carbon,Diamond and Graphite  are together called:___________?",A. Allotrope,B. Isomers,C. Isomorphs,D. Isotopes,A
The element common to all acids is:__________?,A. Hydrogen,B. Carbon,C. Sulphur,D. Oxygen,A
Which of the following is used as a lubricant?,A. Graphite,B. Silica,C. Diamond,D. Iron oxide,A
The Tree sends down roots from its branches to the soil is known as:___________?,A. Oak,B. Pine,C. Banyan,D. Palm,C
BCG vaccine is used to produce immunity against___________?,A. Whooping cough,B. Tuberculosis,C. Virus fever,D. Smallpox,B
Gravitation force of earth is___________?,A. 9.80 m/s²,B. 7.21 m/s²,C. 1.62 m/s²,D. None of these,A
How many teeth does a dog have?,A. 42,B. 45,C. 46,D. 47,A
"Sagittarius-A, the Blackhole at the centre of the Milky Way Galaxy is at a distance of_________?",A. 25500 Lightyears,B. 24500 Lightyears,C. 23640 Lightyears,D. 25640 Lightyears,D
Deficiency of vitamin C will cause:__________?,A. Beri-Beri,B. Architis,C. Scurvy,D. Night-blindness,C
Ultra Microscopic viruses are the main cause of__________?,A. Malaria,B. Measles,C. Mumps,D. Cholera,C
By which hormone High Blood Sugar level can be controlled in stomach?,A. Glucose,B. Insulin,C. Thyroxin,D. Non-Apinefreen,B
The tread mills training is prescribed for the injured athlete for the purpose of improving his/her_________?,A. Muscle strength,B. Stability of the body,C. Range of motion,D. Muscle endurance,D
"To which of the following chambers of the heart, is the aorta connected?",A. Left ventricle,B. Right ventricle,C. Right auricle,D. Left auricle,A
Blood is cleaned by __________?,A. Lungs,B. Liver,C. Heart,D. Kidneys,D
Vitamins were discovered by__________?,A. Moesley,B. Chadwick,C. Frank Whittle,D. Casimir Funk,D
The best conductor of heat among liquid is___________?,A. Water,B. Mercury,C. Ether,D. Alcohol,B
Aviation fuel for Jet Aeroplanes consists of purified________?,A. Petrol,B. Kerosene,C. Gasoline,D. Diesel,B
Optic fibers are mainly used for which of the following:,A. Communication,B. Weaving,C. Food indudtry,D. None of these,A
What is the wavelength of visible spectrum:,A. 1300-3000A,B. 3900-7600A,C. 7800-8000A,D. None of these,B
Sound of frequency below 20 Hz is:___________?,A. Audiosonic,B. Infrasonic,C. Ultrasonic,D. Supersonic,B
Bt seed is associated with:___________?,A. Rice,B. Wheat,C. Cotton,D. Oilseed,C
The natural source of hydrocarbon is:___________?,A. Crude oil,B. Biomass,C. Coal,D. Carbohydrates,A
If the level of atmospheric pollution increases:,A. The length of the day will increases,B. The length of the day will decreases,C. The length of the day will remain same,D. None of these,A
Mach number is used in connection with the speed of___________?,A. Ship,B. Light,C. Sound,D. aircraft,D
Any disease or infection that is naturally transmissible from vertebrate animals to humans is called?,A. Zonoses,B. Zoonoses,C. Ananoses,D. Chordnoses,B
Keeping of Birds Called___________?,A. Apiculture,B. Aviculture,C. Viniculture,D. Viticulture,B
The first cloned animal was____________?,A. Goat,B. Cow,C. Rat,D. Sheep,D
Which of the following is used for hearing the sound of heart and lungs?,A. Steroscope,B. Stethoscope,C. Oscillator,D. Oncolator,B
Red blood cells are produced in_________?,A. Liver,B. Heart,C. Spleen,D. Bone-marrow,D
Fathom is the unit of measurement for__________?,A. Sound,B. Depth,C. Energy,D. Time,B
Who discovered the Polio Vaccine?,A. Jonas Salk,B. Jaber Ibn Hayan,C. Selman Waksman,D. None of these,A
Who was the surgeon who pioneered antiseptic surgery in 1865?,A. Edward Jenner,B. Joseph Lister,C. Henry William,D. John Sleeman,B
‘ELISA’ test is employed to diagnose?,A. Corona virus,B. AIDS antibodies,C. Tuberculosis bacterium,D. Cancer,B
Sleeping sickness in the natives of Africa is caused by________?,A. Trichomonas,B. Giardia,C. Leishmania,D. Trypanosoma,D
Which of the following is not a mosquito born disease?,A. Dengue fever,B. Malaria,C. Sleeping sickness,D. Filariasis,C
Amnesia is related to:__________?,A. Sleeping sickness,B. Loss of sight,C. Loss of hearing,D. Loss of memory,D
Which two organs glands are affected by malaria?,A. Lungs and heart,B. Spleen and liver,C. Kidneys and lungs,D. Heart and brain,B
A chronometer meter measures__________?,A. Sound waves,B. Time,C. Color contrast,D. Water waves,B
Who discovered the Solar system ?,A. Copernicus,B. Newton,C. Galileo,D. Kepler,A
Vector of Kala-azar disease is___________?,A. Sandfly,B. Dragonfly,C. Mosquito,D. Housefly,A
Which of the following is not a contagious disease?,A. Hysteria,B. Measles,C. Typhoid,D. Influenza,A
Deficiency diseases are caused due to the deficiency of___________?,A. Proteins,B. Vitamins,C. Carbohydrates,D. Fats,B
Which of the following is nutritional deficiency disease?,A. Albinism,B. Cirrhosis,C. Rabies,D. Pellagra,D
Vitamin B3 is also known as__________?,A. Thiamine,B. Riboflavin,C. Niacin,D. Retinol,C
Vitamin B2 is also called as__________?,A. Riboflavin,B. Thiamine,C. Ascorbic Acid,D. Niacin,A
Vitamin B1 is also known as____________?,A. Riboflavin,B. Retinol,C. Thiamine,D. Niacin,C
A branch of medicine dealing with eyes and related diseases is called_________?,A. Opthalmology,B. Obstetrics,C. Physiology,D. Haematology,A
"The study of geographical areas, plants and animal distribution is called_________?",A. Cosmetology,B. Chorology,C. Osteology,D. Mycology,B
The study of forces acting upon bodies in motion in the air is called__________?,A. Aeronautics,B. Aerophysics,C. Aerodynamics,D. Aerofraction,C
Disease beri beri is because of___________?,A. Lack of green vegetables in diet,B. Use of milled rice,C. Deficiency of calcium in bones,D. Poor use of citrus fruits,B
Insects responsible for transmitting diseases are called___________?,A. Drones,B. Vectors,C. Hybirds,D. None of these,B
"Lock Jaw i.e. difficulty in opening the mouth, is a symptom of___________?",A. Chlorea,B. Plague,C. Diphtheira,D. Tetanus,D
The main Constituent of Biogas is__________?,A. Methane,B. Hydrogyn,C. Oxygen,D. Carbin dioxide,A
Virus is__________?,A. unicellular,B. multicellular,C. acellular,D. none of these,C
The Renaissance scientist who explained how planets moved around the sun was,A. Kepler,B. Rebelais,C. Francis Bacorr,D. Gutenber,A
The Proportion of Hydrogen to Helium in the Sun is________?,A. 3:2,B. 3:1,C. 1:1,D. 3:4,B
"Jupiter, Saturn, Uranus and Neptune are called_________?",A. Jovian planets,B. Terrestrial Planets,C. Both A & B,D. None of these,A
"Mercury, Venus, Earth and Mars are called___________?",A. Dwarf Planet,B. Gaseous Planets,C. Terrestrial Planets,D. Both A & B,C
Which of the following cutting conditions greatly affects the tool wear?,A. Cutting speed,B. Feed,C. Depth of cut,D. None of the above,A
"In which type of solar eclipse the Sun’s center is covered by the moon, leaving its edges uncovered?",A. Partial Solar Eclipse,B. Total Solar Eclipse,C. Annular Solar Eclipse,D. None of the above,C
Almost identical eclipses occur after 18 years and 11 days. This cycle is known as__________?,A. Partial Eclipse cycle,B. Total Eclipse Cycle,C. Saros Cycle,D. None of the above,C
Day and night are the results of__________?,A. Earth rotation around its axis,B. Earth revolution,C. Earth rotation accompanied with its revolution.,D. None of these,A
In whole Periodic Table which element Is Most Reducing Agent ?,A. Chlorine,B. lithium,C. Helium,D. Neon,B
Joint in which bones are joined together by fibrous tissues is called _____________ ?,A. Fibrous joint,B. Cartilaginous joint,C. Synovial joint,D. Ball and socket joint,A
How many longitudes are there in Globe?,A. 90,B. 180,C. 270,D. 360,D
The coldest region of the Earth’s atmosphere is__________?,A. Exosphere,B. Thermosphere,C. Stratopause,D. Mesopause,D
Which Planet is known as Watery Planet?,A. Earth,B. Mars,C. Jupiter,D. Mercury,A
How many bones are in human Eyes?,A. Three,B. Four,C. Five,D. Seven,D
Which part of the body is attacked by “Gingivitis” disease?,A. Eyes,B. Nails,C. Gums,D. Nostrils,C
Example of gas having monoatomic molecules is ___________ ?,A. Nitrogen,D. Nydrogen,C. Neon and argon,D. Oxygen and nitrogen,C
Atom was a name given by ____________ ?,A. Democritus,B. Bohr,C. Rutherford,D. Archimedes,A
Electric motor was invented by __________ ?,A. Michael Faraday,B. Oliver Evans,C. Thomas Edison,D. Horace Day,A
Vernal equinox of northern hemisphere in March marks season of __________ ?,A. Spring,B. Summer,C. Winter,D. Autumn,A
Medium which sends signal from source to destination is known as ________ ?,A. Transmitter,B. Transmission channel,C. Receiver,D. Hardware,B
Very High Frequency (VHF) have __________ wavelengths?,A. shorter,B. shortest,C. longer,D. longest,A
"Places where the temperature of air is above freezing point of the water, the precipitation will be in the form of ________ ?",A. Hailstorms,B. Thunders,C. Rain,D. Lightning,C
"Places where the temperature of air is below freezing point of the water, the precipitation will be in the form of __________ ?",A. Snow,B. Lightning,C. Hailstorms,D. Thunders,A
How many Calories are there in 100 grams Natural Honey?,A. 107,B. 209,C. 304,D. 416,C
What do you mean by Phonetics?,A. Study of speech sounds,B. Study of language and rules,C. Study of insects,D. Study of meaning and syntax,A
How many chambers are in the human heart ?,A. 02,B. 03,C. 04,D. 05,C
"In human, Which body part develop first ?",A. Heart,B. Brain,C. Lungs,D. Kidneys,A
1 yard =___________?,A. 3 feet,B. 6 feet,C. 2.4 feet,D. 12 feet,A
Water is 50 times more viscous than ____________ ?,A. Oil,B. Alcohol,C. Gases,D. Solid,C
How many calories are there in 1 gram of carbohydrate?,A. 2,B. 2,C. 4,D. 10.25,C
Parkinson is a disease of_________?,A. Lungs,B. Eyes,C. Brain,D. Bones,C
What is chemical symbol for Tungsten?,A. Z,B. T,C. Tn,D. W,D
"The expected number of RBCs in a single drop, or microliter, of blood is _________ million in Men.",A. 4.5 to 6.2 million,B. 3.4 to 6.8 million,C. 3.2 to 7.2 million,D. 4.0 to 5.2 million,A
The normal range of the number of white blood cells in a microliter of blood is between _________ ?,"A. 2,500 and 09,300","B. 4,500 and 10,000","C. 4,900 and 12,000",D. None of these,B
"The expected number of RBCs in a single drop, or microliter, of blood is _________ million in Women.",A. 4.5 to 6.2 million,B. 3.4 to 6.8 million,C. 3.2 to 7.2 million,D. 4.0 to 5.2 million,D
Main and excessive part of plasma consists of ________?,A. Carbon dioxide,B. Oxygen,C. Water,D. Glucose,C
The light of distant stars is affected by __________ ?,A. The earth’s atmosphere,B. Interstellar dust,C. both A and B,D. None of these,C
Blood does not coagulate inside the body due to the presence of___________?,A. Haemoglobin,B. Fibrin,C. Heparin,D. Plasma,C
Study of “Aging” is called __________?,A. Gerontology,B. Hstologyh,C. Pysiology,D. Anthropology,A
LPG consists of mainly:___________?,"A. Methane, Ethane and Hexane","B. Ethane, Hexane and Nonane","C. Methane, Hexane and Nonane","D. Methane, Butane and Propane",D
Which of the following are the ingredients of gun metal?,"A. Iron, Zinc and Titanium",B. Iron and Tin,"C. Iron, Brass and Tin","D. Copper, Tin and Zinc",D
Non stick cooking utensils are coated with________?,A. Black paint,B. PVC,C. Teflon,D. polystyrene,C
The gas usually filled in the electric bulb is___________?,A. Nitrogen,B. Hydrogen,C. Carbon dioxide,D. Oxygen,A
The ozone molecule contains which type of bonding__________?,A. Dative bond,B. Covalent bond,C. Both A and B,D. Ionic Bond,C
The gases used in different types of welding would include ___________?,A. Oxygen and hydrogen,"B. Oxygen, hydrogen, acetylene and nitrogen","C. Oxygen, acetylene and argon",D. Oxygen and acetylene,D
"The inert gas which is substituted for nitrogen in the air used by deep sea divers for breathing, is ________ ?",A. Argon,B. Xenon,C. Helium,D. Krypton,C
Chemical formula for Water is _______ ?,A. NaAlO2,B. H2O,C. Al2O3,D. CaSiO3,B
The PH of milk is __________?,A. 6.0,B. 6.5,C. 7.0,D.7.5,B
Turpentine is obtained from___________?,A. Oak tree,B. Pine tree,C. Birch tree,D. Lemon tree,B
Soap and detergents remove the dirt from clothes due to__________?,A. Osmosis,B. Capillary action,C. Lowering of interfacial tension,D. Diffusion,C
Which of the following is a component of soap?,A. Sodium sulphate,B. Sodium stearate,C. Sodium chloride,D. Sodium nitrate,B
Pig iron is also called________?,A. Cast iron,B. Steel,C. Wrought iron,D. Stainless steel,A
"If steel is heated to a temperature well below red heat and is then cooled slowly, the process is called_________?",A. Annealing,B. Quenching,C. Tempering,D. Nitriding,A
The temperature at which two conjugate solutions change into one homogeneous solution is called__________?,A. Azeotrope,B. Conjugate temperature,C. Consolute temperature,D. Eutectic point,C
Mostly which gases  found of the planet Jupiter?,A. Hydrogen,B. Chlorine,C. Hydrogen and Helium,D. Neon,C
"Which of the following type of Coal, has maximum carbon content?",A. Peat,B. Lignite,C. Anthracite,D. Bituminious,C
Oil rises up to wick in a lamp because_____________?,A. Oil is very light,B. Oil is volatile,C. Diffusion of oil through the wick,D. Capillary action phenomenon,D
Stethoscope was invented by _______ ?,A. Rene Laennec,B. Steven Sasson,C. Martin Cooper,D. Dave Hyatt,A
What is the molecular formula for Nitric acid ________ ?,A. HNO2,B. HNO3,C. HN2O2,D. H2NO4,B
"The medical branch of science that deals with the study of skin, its functions, diseases, & treatment is ________ ?",A. Dermatology,B. Dormatology,C. Deontology,D. Dermatoglyphics,A
The scientific study of fingerprints is called _________ ?,A. Dactylography,B. Dactylology,C. Dactyliology,D. Dialectology,A
The discovery of neutron became very late because _______ ?,A. It does not carry any charge,B. It does not move,C. It is a fundamental particle,D. It is present in nucleus,A
The absolute value of charge on electron was determined by ________ ?,A. J.J.Thomson,B. Chadwick,C. Rutherford,D. Robert Millikan,D
What is the molecular weight of Ammonia (NH3) ________ ?,A. 17.031 g/mol,B. 18.031 g/mol,C. 19.031 g/mol,D. 27.033 g/mol,A
What is the molecular formula for Ammonia?,A. NH,B. NH2,C. NH3,D. NH4,C
What is the third most common gas found in the air we breathe ________ ?,A. Hydrogen,B. Neon,C. Carbondioxide,D. Argon,D
What is the Molecular Formula for Glucose _______ ?,A. C4H10O6,B. C5H11O6,C. C6H12O6,D. S6H12O6,C
Which of the following is a diverse group of hydrophobic molecules?,A. Carbohydrates,B. Lipids,C. Proteins,D. Nucleic acids,B
What is the chemical formula for Sulfuric acid?,A. C2H6O,B. CaSO4,C. C2H4O2,D. H2SO4,D
The M.K.S. system was first introduced by _________ ?,A. Giorgi,B. Archimedes,C. Eienstein,D. Newton,A
A mixture of sand and naphthalene can be separated by ________ ?,A. Chromatography,B. Fractional distillation,C. Sublimation,D. None of these,C
What is the chemical formula for Sodium carbonate _______ ?,A. Na3CO2,B. CNa2O3,C. Na2CO3,D. Na3CO3,C
A ‘breath test’ used by traffic police to check drunken driving uses ____?,A. Turmeric on filter paper,B. Silica gel coated with silver nitrate,C. potassium permanganate-sulphuric acid,D. Potassium dichromatic-sulphuric acid,D
Brass gets discoloured in air because of the presence of which of the following gases in air ________ ?,A. Carbon dioxide,B. Oxygen,C. Nitrogen,D. Hydrogen sulphide,D
Hydrogen bomb is based on the principle of ________ ?,A. Nuclear fusion,B. Artificial radioactivity,C. Natural radioactivity,D. Nuclear fission,A
Elements which have same number of protons but different number of neutrons are called as _________ ?,A. Isotopes,B. Isomers,C. Allotropes,D. Allomers,A
Proton number is denoted by symbol __________ ?,A. M,B. Z,C. P,D. A,B
