question,A,B,C,D,correct_answer
What will be the difference between simple and compound interest at 10% per annum on a sum of Rs. 1000 after 4 years?,A. Rs. 31,B. Rs. 32.10,C. Rs. 40.40,D. Rs. 64.10,D
"If the simple interest on a sum of money for 2 years at 5% per annum is Rs. 50, what is the compound interest on the same sum at the rate and for the same time?",A. Rs. 51.25,B. Rs. 52,C. Rs. 54.25,D. Rs. 60,A
"Find the Compound Interest on Rs. 15,625 for 9 months at 16% per annum compounded quarterly?",A. Rs. 1851,B. Rs. 1941,C. Rs. 1951,D. Rs. 1961,C
What is the difference between the C.I. on Rs. 5000 for 1 1/2 years at 4% per annum compounded yearly and half-yearly?,A. Rs. 2.04,B. Rs. 3.06,C. Rs. 4.80,D. Rs. 8.30,A
A sum of money place at compound interest doubles itself in 4 years. In how many years will it amount to eight times itself?,A. 16,B. 8,C. 12,D. 20,C
The sum of money at compound interest amounts to thrice itself in 3 years. In how many years will it be 9 times itself?,A. 18,B. 12,C. 9,D. 6,D
The C.I. on a certain sum for 2 years Rs.41 and the simple interest is Rs.40. What is the rate percent?,A. 4%,B. 5%,C. 6%,D. 8%,B
Simple interest on a sum at 4% per annum for 2 years is Rs.80. The C.I. on the same sum for the same period is_______?,A. Rs.81.60,B. Rs.160,C. Rs.1081.60,D. Rs.99,A
"Find the C.I. on a sum of Rs.1600 for 9 months at 20% per annum, interest being compounded quarterly?",A. Rs.17684,B. Rs.1684,C. Rs.2522,D. Rs.3408,C
At the end of three years what will be the compound interest at the rate of 10% p.a. on an amount of Rs.20000?,A. Rs.6620,B. Rs.6500,C. Rs.6800,D. Rs.6400,A
Rs.8000 become Rs.9261 in a certain interval of time at the rate of 5% per annum of C.I. Find the time?,A. 4 years,B. 6 years,C. 2 years,D. 3 years,D
Find out the C.I on Rs.5000 at 4% p.a. compound half-yearly for 1 1/2 years.,A. Rs.420.20,B. Rs.319.06,C. Rs.306.04,D. Rs.294.75,C
"If Rs.7500 are borrowed at C.I at the rate of 4% per annum, then after 2 years the amount to be paid is_______?",A. Rs.8082,B. Rs.7800,C. Rs.8100,D. Rs.8112,D
Find the compound interest and the amount on Rs.8000 at 5% per annum for 3 years when C.I is reckoned yearly?,A. Rs.1261,B. Rs.1440,C. Rs.1185,D. Rs.1346,A
"A steamer goes downstream from one port to another in 4 hours, it covers the same distance upstream in 5 hours. If the speed of the stream is 2km/hr,the distance between the two parts is_______?",A. 50km,B. 60km,C. 70km,D. 80 km,D
"The speed of a motor boat is that of the current of water as 36:5. The boat goes along with the current in 5 hours 10 min, it will come back in_______?",A. 5 hours 50 min,B. 6 hours,C. 6 hours 50 min,D. 12 hours 10 min,C
"The speed of a boat in still water is 5 km/hr, it can go 30km upstream and return downstream to the original point in 4 hours 30 min. The speed of the stream is_______?",A. 5km/hr,B. 8 km/hr,C. 10 km/hr,D. 15 km/hr,A
A boat is rowed downstream at 15.5km/hr and upstream at 8.5 km/hr. The speed of the stream is________?,A. 3.5km/hr,B. 5.75km/hr,C. 6.5km/hr,D. 7km/hr,A
A man can row downstream at 18 kmph and upstream at 10 kmph. Find the speed of the man in still water and the speed of stream respectively?,"A. 13, 3","B. 12, 6","C. 15, 3","D. 14, 4",D
"The time taken by a man to row his boat upstream is twice the time taken by him to row the same distance downstream. If the speed of the boat in still water is 42 kmph, find the speed of the stream?",A. 12 kmph,B. 13 kmph,C. 14 kmph,D. 15 kmph,C
"A man can row a boat at 20 kmph in still water. If the speed of the stream is 6 kmph, what is the time taken to row a distance of 60 km downstream?",A. 20/6 hours,B. 27/2 hours,C. 30 hours,D. 30/13 hours,D
"A man rows his boat 85 km downstream and 45 km upstream, taking 2 1/2 hours each time. Find the speed of the stream?",A. 5 kmph,B. 6 kmph,C. 7 kmph,D. 8 kmph,D
The speed of a boat in upstream is 60 kmph and the speed of the boat downstream is 80 kmph. Find the speed of the boat in still water and the speed of the stream?,"A. 70, 10 kmph","B. 35, 27 kmph","C. 50, 60 kmph","D. 45, 55 kmph",A
The speed of a boat in still water is 60kmph and the speed of the current is 20kmph. Find the speed downstream and upstream?,"A. 35, 25 kmph","B. 80, 40 kmph","C. 40, 60 kmph","D. 50, 55 kmph",B
The current of a stream at 1 kmph. A motor boat goes 35 km upstream and back to the starting point in 12 hours. The speed of the motor boat in still water is_________?,A. 6 kmph,B. 7 kmph,C. 8.5 kmph,D. 8 kmph,A
"A man whose speed is 4.5 kmph in still water rows to a certain upstream point and back to the starting point in a river which flows at 1.5 kmph, find his average speed for the total journey?",A. 8 kmph,B. 4 kmph,C. 2 kmph,D. 10 kmph,B
"The current of a stream runs at the rate of 4 kmph. A boat goes 6 km and back to the starting point in 2 hours, then find the speed of the boat in still water?",A. 10 kmph,B. 21 kmph,C. 8 kmph,D. 12 kmph,C
"A man can row 6 kmph in still water. When the river is running at 1.2 kmph, it takes him 1 hour to row to a place and black. What is the total distance traveled by the man?",A. 6.24 km,B. 6 km,C. 5.76 km,D. 5.66 km,C
"A man can row 6 kmph in still water. When the river is running at 1.2 kmph, it takes him 1 hour to row to a place and black. How far is the place?",A. 3.12 km,B. 2.88 km,C. 3 km,D. 2 km,B
A man swims downstream 72 km and upstream 45 km taking 9 hours each time; what is the speed of the current?,A. 3 kmph,B. 1.5 kmph,C. 13 kmph,D. 6.5 kmph,B
"A man swims downstream 30 km and upstream 18 km taking 3 hours each time, what is the speed of the man in still water?",A. 2 kmph,B. 8 kmph,C. 16 kmph,D. 4 kmph,B
"A boat can move upstream at 25 kmph and downstream at 35 kmph, then the speed of the current is_________?",A. 5 kmph,B. 10 kmph,C. 30 kmph,D. 15 kmph,A
"A man can row upstream at 25 kmph and downstream at 35 kmph, and then find the speed of the man in still water?",A. 60 kmph,B. 10 kmph,C. 30 kmph,D. 5 kmph,C
"A man can row with a speed of 15 kmph in still water. If the stream flows at 5 kmph, then the speed in downstream is________?",A. 10 kmph,B. 5 kmph,C. 20 kmph,D. 22 kmph,C
"A man can swim in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is_________?",A. 3,B. 7.5,C. 2.25,D. 1.5,D
A man can row his boat with the stream at 6 km/h and against the stream in 4 km/h. The man’s rate is________?,A. 1 kmph,B. 5 kmph,C. 8 kmph,D. 3 kmph,A
"A boat goes 100 km downstream in 10 hours, and 75 m upstream in 15 hours. The speed of the stream is________?",A. 7 km/h,B. 5 km/h,C. 3 km/h,D. 2 (1/2) km/h,D
"A person can swim in still water at 4 km/h. If the speed of water 2 km/h, how many hours will the man take to swim back against the current for 6km?",A. 3,B. 4,C. 4 (1/2),D. Insufficient data,A
If a man rows at the rate of 5 kmph in still water and his rate against the current is 3.5 kmph. then the man’s rate along the current is__________?,A. 4.25 kmph,B. 6 kmph,C. 6.5 kmph,D. 8.5 kmph,C
A man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream. The ratio of the speed of the boat (in still water) and the stream is________?,A. 2 : 1,B. 3 : 1,C. 3 : 2,D. 4 : 3,B
Speed of a boat in standing water is 9 kmph and the speed of the stream is 1.5 kmph. A man rows to a place at a distance of 105 km and comes back to the starting point. The total time taken by him is_________?,A. 16 hours,B. 18 hours,C. 20 hours,D. 24 hours,D
A man can row three-quarters of a kilometre against the stream in 11 minutes and down the stream in 7 minutes. The speed (in km/hr) of the man in still water is:_________?,A. 2,B. 3,C. 4,D. 5,D
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,A. 40 minutes,B. 1 hour,C. 1 hr 15 min,D. 1 hr 30 min,C
A man can row 9 1/3 km/hr in still water and he finds that is thrice as much time to row u p than as to row down the same distance in river. The speed of the current is:________?,A. 3 1/3 km/hr,B. 3 1/9 km/hr,C. 1 ¼ km/hr,D. 4 2/3 km/hr,D
"A boat travels upstream from B to A and downstream from A to B in 3 hours. If the speed of the boat in still water is 9km/hr and the speed of the current is 3km/hr, the distance A and B is:_______?",A. 4km,B. 6 km,C. 8 km,D. 12 km,D
The speed of a boat in still water is 2km/hr. If its speed upstream be 1km/hr then speed of the stream is________?,A. 1.5km/hr,B. 3km/hr,C. 1km/hr,D. none,C
A boat takes half time in moving a certain distance downstream than upstream. What is the ratio between the rate in still water and rate of current?,A. 1 : 2,B. 3 : 1,C. 2 : 1,D. 1 : 3,B
A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will he take to go 5km in stationery water?,A. 40 Minutes,B. 1 Hour,C. 1 hr 15 Min,D. 1 Hr 30 Min,C
A man can row 7 ½ kms on hour in still water and he finds that it takes hi twice as long to row down the river. The rate of stream is,A. 2.4km/hr,B. 2.5 km/hr,C. 3.4km/hr,D. 3.5km/hr,B
A man can row three-quarters of a kilometer against the stream in 11 ¼ minutes and return in 7 ½ minutes. The speed of the man in still water is________?,A. 2km/hr,B. 3km/hr,C. 4 km/hr,D. 5 km/hr,D
A boat goes 6 km in an hour in still water. It takes thrice as much time in covering the same distance against the current. Speed of the current is_______?,A. 2 km/hr,B. 3km/hr,C. 4km/hr,D. 5 km/hr,C
A boat running upstream takes 8 hours 48 min to cover a certain distance while it takes 4 hours to cover the same distance running downstream. What is the ratio between the speed of the boat and the speed of water current respectively?,A. 2 : 1,B. 3 : 1,C. 8 : 3,D. Cannot be determined,C
"In a river, a man takes 3 hours in rowing 3 km upstream or 15 km downstream. What is the speed of the current?",A. 2km/hr,B. 4km/hr,C. 6km/hr,D. 9km/hr,A
"A man can row at 5 km/hr in still water, if the river is running at 1 km/hr it takes him 75 minutes to row to a place and back. How far is the place?",A. 2.5km,B. 3km,C. 4 km,D. 5 km,B
"A runs 1 2/3 times as fast as B. If A gives B a start of 80 m, how far must the winning post be so that A and B might reach it at the same time?",A. 200 m,B. 300 m,C. 270 m,D. 160 m,A
"In a 100 m race, A can beat B by 25 m and B can beat C by 4 m. In the same race, A can beat C by:________?",A. 21 m,B. 26 m,C. 28 m,D. 29 m,C
"If in a game of 80, P can give 16 points to Q and R can give 20 points to P, then in a game of 150, how many points can R give to Q?",A. 48,B. 60,C. 54,D. 90,B
"If X can run 48m and Y 42m, then in a race of 1km, X beats Y by:_________?",A. 140m,B. 125m,C. 100m,D. 110m,B
In a 300 m race A beats B by 22.5 m or 6 seconds. B’s time over the course is__________?,A. 86 sec,B. 80 sec,C. 76 sec,D. None of these,B
"In a game of billiards, A can give B 20 points in 60 and he can give C 30 points in 60. How many points can B give C in a game of 100?",A. 50,B. 40,C. 25,D. 15,C
"In a race of 1000 m, A can beat by 100 m, in a race of 800m, B can beat C by 100m. By how many meters will A beat C in a race of 600 m?",A. 57.5 m,B. 127.5 m,C. 150.7 m,D. 98.6 m,B
"A can run a kilometer race in 4 1/2 min while B can run same race in 5 min. How many meters start can A give B in a kilometer race, so that the race mat end in a dead heat?",A. 150 m,B. 125 m,C. 130 m,D. 100 m,D
"In a kilometer race, A beats B by 50 meters or 10 seconds. What time does A take to complete the race?",A. 200 sec,B. 190 sec,C. 210 sec,D. 150 sec,B
A can give B 100 meters start and C 200 meters start in a kilometer race. How much start can B give C in a kilometer race?,A. 111.12 m,B. 888.88 m,C. 777.52 m,D. 756.34 m,A
"In a can, there is a mixture of milk and water in the ratio 4 : 5. If it is filled with an additional 8 litres of milk the can would be full and ratio of milk and water would become 6 : 5. Find the capacity of the can?",A. 40,B. 44,C. 48,D. 52,B
n what ratio should a variety of rice costing Rs. 6 per kg be mixed with another variety of rice costing Rs. 8.75 per kg to obtain a mixture costing Rs. 7.50 per kg?,A. 5 : 6,B. 3 : 4,C. 7 : 8,D. 8 : 9,A
"All the water in container A which was filled to its brim was poured into two containers B and C. The quantity of water in container B was 62.5% less than the capacity of container A. If 148 liters was now transferred from C to B, then both the containers would have equal quantities of water. What was the initial quantity of water in container A?",A. 648,B. 888,C. 928,D. 1184,D
How many liters of oil at Rs.40 per liter should be mixed with 240 liters of a second variety of oil at Rs.60 per liter so as to get a mixture whose cost is Rs.52 per liter?,A. 120 liters,B. 180 liters,C. 110 liters,D. 160 liters,D
In what ratio should two varieties of sugar of Rs.18 per kg and Rs.24 kg be mixed together to get a mixture whose cost is Rs.20 per kg?,A. 1:3,B. 3:1,C. 1:2,D. 2:1,D
"A vessel contains 20 liters of a mixture of milk and water in the ratio 3:2. 10 liters of the mixture are removed and replaced with an equal quantity of pure milk. If the process is repeated once more, find the ratio of milk and water in the final mixture obtained?",A. 9:1,B. 4:7,C. 7:1,D. 2:5,A
A mixture of 150 liters of wine and water contains 20% water. How much more water should be added so that water becomes 25% of the new mixture?,A. 7 liters,B. 15 liters,C. 10 liters,D. 9 liters,C
In what ratio must water be mixed with milk to gain 16 2/3 % by selling the mixture at cost price?,A. 1:6,B. 2:3,C. 4:3,D. 6:1,A
"In what ratio must a grocer mix teas worth Rs.60 a kg and Rs.65 a kg.So that by selling the mixture at Rs. 68.20 a kg, He may gain 10%?",A. 3:2,B. 3:4,C. 3:5,D. 4:5,A
The ratio in which the price at Rs.7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs.6.30 a kg is_________?,A. 1:3,B. 2:3,C. 3:4,D. 4:5,A
Sharjeel has a container which has a mixture of wine and water in it. Wine and water are in the ratio 4:1. Sharjeel spills some of the mixture by accident. He then replaces the spilled amount with water of same quantity. But now the wine to water ratio became 3:2. How much water did Sharjeel add?,A. 3/5,B. 1/2,C. 1/4,D. 2/7,C
8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?,A. 18 litres,B. 24 litres,C. 32 litres,D. 42 litres,B
"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:_______?",A. Rs. 18,B. Rs. 18.50,C. Rs. 19,D. Rs. 19.50,A
In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?,A. 3 : 2,B. 3 : 4,C. 3 : 5,D. 4 : 5,A
Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.,A. 1 : 3,B. 2 : 3,C. 3 : 4,D. 4 : 5,B
In what proportion must water be added to spirit to gain 20% by selling it at the cost price?,A. 2:5,B. 1:5,C. 3:5,D. 4:5,B
How much water must be added to a bucket which contains 40 liters of milk at the cost price of Rs.3.50 per liter so that the cost of milk reduces to Rs.2 per liter?,A. 25 liters,B. 28 litres,C. 30 liters,D. 35 liters,C
Milk and water in two vessels A and B are in the ratio 4:3 and 2:3 respectively in what ratio the liquids in both the vessels should be mixed to obtain a new mixture in vessel C containing half milk and half water?,A. 1:1,B. 1:3,C. 1:2,D. 7:5,D
"A question paper consists of five problems, each problem having three internal choices. In how many ways can a candidate attempt one or more problems?",A. 63,B. 511,C. 1023,D. 15,C
In a class there are 20 boys and 25 girls. In how many ways can a boy and a girl be selected?,A. 400,B. 500,C. 600,D. 20,B
In how many ways can three consonants and two vowels be selected from the letters of the word “TRIANGLE”?,A. 25,B. 13,C. 40,D. 30,D
"A bag contains nine yellow balls, three white balls and four red balls. In how many ways can two balls be drawn from the bag?",A. ⁹C₂,B. ³C₂,C. ¹⁶C₂,D. ¹²C₂,C
"How many four digit even numbers can be formed using the digits {2, 3, 5, 1, 7, 9}",A. 60,B. 360,C. 120,D. 240,A
"How many four digit numbers can be formed using the digits {1, 3, 4, 5, 7,9}(repetition of digits is not allowed)?",A. 360,B. 60,C. 300,D. 180,A
A letter lock consists of three rings each marked with six different letters. The number of distinct unsuccessful attempts to open the lock is at the most__________?,A. 216,B. 243,C. 215,D. 729,C
A committee has 5 men and 6 women. What are the number of ways of selecting a group of eight persons?,A. 165,B. 185,C. 205,D. 225,A
What are the number of ways to select 3 men and 2 women such that one man and one woman are always selected?,A. 100,B. 60,C. 30,D. 20,C
A committee has 5 men and 6 women. What are the number of ways of selecting 2 men and 3 women from the given committee?,A. 150,B. 200,C. 250,D. 300,B
The number of arrangements that can be made with the letters of the word MEADOWS so that the vowels occupy the even places?,A. 720,B. 144,C. 120,D. 36,B
"Using all the letters of the word “NOKIA”, how many words can be formed, which begin with N and end with A?",A. 3,B. 6,C. 24,D. 120,B
"Using all the letters of the word “THURSDAY”, how many different words can be formed?",A. 8,B. 8!,C. 7!,D. 7,B
How many three letter words are formed using the letters of the word TIME?,A. 12,B. 20,C. 16,D. 24,D
A boy has nine trousers and 12 shirts. In how many different ways can he select a trouser and a shirt?,A. 21,B. 12,C. 9,D. 108,D
"There are 30 people in a group. If all shake hands with one another , how many handshakes are possible?",A. 870,B. 435,C. 30!,D. 29! + 1,B
In how many different ways can the letters of the word ‘OPTICAL’ be arranged so that the vowels always come together?,A. 120,B. 720,C. 4320,D. 2160,B
In how many different ways can the letters of the word ‘MATHEMATICS’ be arranged so that the vowels always come together?,A. 10080,B. 4989600,C. 120960,D. None of these,C
"How many 4-letter words with or without meaning, can be formed out of the letters of the word, ‘LOGARITHMS’, if repetition of letters is not allowed?",A. 40,B. 400,C. 5040,D. 2520,C
In how many ways can a group of 5 men and 2 women be made out of a total of 7 men and 3 women?,A. 63,B. 90,C. 126,D. 45,A
"In how many different ways can four books A, B, C and D be arranged one above another in a vertical order such that the books A and B are never in continuous position?",A. 9,B. 12,C. 14,D. 18,B
"There are two identical red, two identical black, and two identical white balls.In how many different ways can the balls be placed in the cells (Each cell to contain one ball) shown above such that balls of the same colour do not occupy any two consecutive cells?",A. 15,B. 18,C. 24,D. 30,C
"Twelve people from a club, by picking lots. One of them will host a dinner for all once in a month. The number of dinners a particular member has to host in one year is________?",A. One,B. Zero,C. Three,D. Cannot be determined,D
A person ordered 5 pairs of black socks and some pairs of brown socks. The price of a black pair was thrice that of a brown pair while preparing the bill the bill clerk inter-changed the number of black and brown pairs by mistake which increased the bill by 100% what was the number of pair of brown socks in the original order?,A. 10,B. 15,C. 20,D. 25,D
"A two number committee comprising of one male and the female number is to be constituted out of five male and 3 females. Amongst the females, Ms. A refused to be number committee in which Mr.B is taken as the number of how many different ways can the committee be constituted?",A. 11,B. 30,C. 14,D. 20,C
A group of 10 representatives is to be selected out of 12 seniors and 10 juniors. In how many different ways can the group be selected if it should have at least one senior?,A. ²²C₁₀,B. ²²C₁₀ + 1,C. ²²C₉ + ¹⁰C₁,D. ²²C₁₀ – 1,D
"A group of 10 representatives is to be selected out of 12 seniors and 10 juniors. In how many different ways can the group be selected, if it should have 5 seniors and 5 juniors?",A. ¹²C₅ * 10,B. ¹²C₇ * 10,C. ¹²C₇ * ¹⁰C₅,D. 12 * ¹⁰C₅,C
"A group consists of 4 men, 6 women and 5 children. In how many ways can 3 men, 2 women and 3 children selected from the given group?",A. 300,B. 450,C. 600,D. 750,C
"A group consists of 4 men, 6 women and 5 children. In how many ways can 2 men , 3 women and 1 child selected from the given group?",A. 300,B. 600,C. 750,D. 900,B
Find the number of ways of arranging the letters of the word “MATERIAL” such that all the vowels in the word are to come together?,A. 720,B. 1440,C. 1860,D. 2160,B
The number of new words that can be formed by rearranging the letters of the word ‘ALIVE’ is__________?,A. 24,B. 23,C. 119,D. 120,C
"A delegation of 5 members has to be formed from 3 ladies and 5 gentlemen. In how many ways the delegation can be formed, if 2 particular ladies are always included in the delegation?",A. 20,B. 54,C. 42,D. 60,A
"The number of sequences in which 7 players can throw a ball, so that the youngest player may not be the last is -.",A. 4000,B. 2160,C. 4320,D. 5300,C
In how many ways can live boys and three girls sit in a row such that all boys sit together?,A. 4800,B. 5760,C. 2880,D. 15000,C
6 of 5/8 / 5/8 – 1/8 = ______?,A. 6 1/8,B. 5 3/4,C. 6 3/4,D. 5 7/8,D
(22 * 495 + 891 * 44) / (33 * 176 + 55 * 264) = _________?,A. 1,B. 2,C. 69/28,D. 66/17,C
[(62.25/2.5) + (12.5/0.5)] / [(0.75 * 9) + (3.5 * 3.5)] = _________?,A. 1 17/38,B. 1 38/17,C. 2 38/17,D. None of these,D
[(523 + 27) * (187 – 35) / (424 + 16)] / [110/22 of (2 * 38)] = ______?,A. 2,B. 1,C. 4,D. 3,A
(50 – ?/29)% of 4200 = 3√196,A. 1350,B. 1450,C. 1550,D. 1421,D
7 + 5 – (3/2 * 1/4) of 2/7 + 7/2 * 1/6 equals ________.,A. 12 3/88,B. 24 21/24,C. 12 25/224,D. 12 1/224,C
0.003 * ? * 0.0003 = 0.00000027,A. 9,B. 3,C. 0.3,D. 0.03,C
[(7 * 9) + (2 * 12) + 3]/[(12 * 3) + (81/9)] = ______?,A. 4,B. 60,C. 1.75,D. None of these,D
6 2/3 * 9 3/5 * 2 1/3 + 1 1/3 = __________?,A. 150 1/3,B. 150 2/3,C. 149 2/3,D. 149 1/3,B
9000 + 16 2/3 % of ? = 10500,A. 1500,B. 1750,C. 9000,D. 7500,C
60 + 5 * 12 / (180/3) = _______?,A. 60,B. 120,C. 13,D. 61,D
4 * 0.4 * 0.04 * 0.004 = _________?,A. 0.0256,B. 0.00256,C. 0.000256,D. 0.0000256,C
(0.456 * 0.456 – 0.228 * 0.228) / (0.456 + 0.228) = ________?,A. 0.228,B. 0.456,C. 0.684,D. 1.0,A
8/15 / 1 1/3 * 3 ?/4 = 1.5,A. 1,B. 2,C. 3,D. 5,C
3648.24 + 364.824 / ? – 36.4824 = 3794.1696,A. 2,B. 3,C. 4,D. 5,A
24 – [2.4 – {0.24 * 2 – (0.024 – ?)}] = 22.0584,A. 0.0024,B. 0.024,C. 0.24,D. 0.00024,A
79.98 / 12.51 * 2.49 = ______?,A. 12,B. 14,C. 16,D. 18,C
√3584 * 52.034 = _______?,A. 3180,B. 3200,C. 3120,D. 3210,C
58978 / 363.94 * 11.02 = _______?,A. 1580,B. 1680,C. 1780,D. 1880,C
26.98% of 6002 + 45.01% of 4199 = ________?,A. 2500,B. 3500,C. 3600,D. 4500,B
(332% of 2113) / 42 = _________?,A. 167,B. 154,C. 162,D. 181,A
1/3 of 2/6 of 1/7 of 2/28 of 2140 = ________?,A. 4.92,B. 3.77,C. 3.01,D. 4.14,B
21345 * 45 = 4270 * ?,A. 215,B. 235,C. 225,D. 255,C
183.21 + 2.9928 * 66.84 = _______?,A. 383,B. 372,C. 380,D. 374,A
(180/37 of 14.8) / (17/60.1 of 180.30) = _______?,A. 1.4,B. 1.6,C. 1.5,D. 1.2,A
45/100 * 125 + 22.22 = ________?,A. 78,B. 76,C. 74,D. 72,A
109.13 * 34.14 – 108.12 * 33 = ________?,A. 130,B. 135,C. 142,D. 148,C
108 * 107 * 96 = ? (to the nearest hundred),A. 1109300,B. 1109400,C. 1108400,D. 1108300,B
25 2/5 + 8 4/5 + 4/5 = _________?,A. 34,B. 35,C. 36,D. 37,B
(64 + 9 + 9) / (2 * 20 + 1) = _______?,A. 1,B. 3/2,C. 2,D. 5/2,C
(1.9 * 0.021) / (0.095 * 0.105) = ______?,A. 1/20,B. 1/5,C. 4,D. 10,C
(98 / 7 / 2) / ? = 14,A. 1/2,B. 1/3,C. 1/4,D. 1/5,A
(24 * 5 * 7 * 9) / ? = 216,A. 15,B. 20,C. 25,D. 35,D
2222.2 + 222.22 + 22.222 = ________?,A. 2466.462,B. 2664.642,C. 2464.462,D. 2466.642,D
2003 * 2004 – 2001 * 2002 = _________?,A. 8000,B. 8010,C. 8020,D. 8040,B
3/7 of 4/9 of 2/5 of 7560 = (?)2,A. 18,B. 22,C. 24,D. 26,C
32% of 425 – ?% of 250 = 36,A. 20,B. 40,C. 60,D. 80,B
6.4 * 1.25 = (?)3,A. 1,B. 4,C. 2,D. 3,C
7394 – 1236 – 4652 = ________?,A. 1506,B. 1606,C. 1706,D. 1496,A
1252* 23+ 35000 = (?)2,A. 200,B. 400,C. 1600,D. 800,B
31.2 * 14.5 * 9.6 = ________?,A. 4334.04,B. 4243.04,C. 4343.04,D. 4433.04,C
1296 ÷ (24 * 0.75) = ______?,A. 36,B. 144,C. 288,D. 72,D
43% of 784 = ________?,A. 312.73,B. 373.12,C. 337.12,D. 339.12,C
2758 + 20581 – 17889 = ________?,A. 178,B. 7850,C. 5200,D. 4800,C
15% of 195 + 14% of 205 = _______?,A. 52,B. 62,C. 58,D. 78,C
³√216400 + √280 + √322 = ________?,A. 651,B. 361,C. 100,D. 95,D
105 * 99 * 299 = _________?,A. 785600,B. 315000,C. 845000,D. 442000,B
105.126 * 35.201 – 90.23 * 3 + 55.11 * 27.01 = ____________?,A. 4890,B. 40000,C. 271,D. 5996,A
(0.9 * 0.9 – 0.8 * 0.8)/1.7 = _________?,A. 0.1,B. 0.2,C. 0.3,D. 0.4,A
(0.9 * 0.9 – 0.8 * 0.8)/1.7 = ________?,A. 0.1,B. 0.2,C. 0.3,D. 0.4,A
5/8 * 2(2/5 – 5/4)/ 11/4= _________?,A. 1/5,B. 4/5,C. 6/5,D. 8/5,A
5 * 5 ÷ 5 + 5 ÷ 5 = __________?,A. 3,B. 2,C. 4,D. 6,D
36 * 48 ÷ 64 + 36 ÷ 12 = _________?,A. 12,B. 18,C. 20,D. 30,D
? % of 400 + 40% of 160 = 17% of 400,A. 4,B. 0.1,C. 1,D. 0.4,C
52 * 40.1 = ________?,A. 2080,B. 2480,C. 2260,D. 2380,A
22004 – 29303 + 101299 – 59532 = _________?,A. 44000,B. 24500,C. 34500,D. 26000,C
30.9 * 3000 – 10.1 * 1100 + 8298 – 4302 = _________?,A. 80000,B. 90000,C. 105000,D. 85000,D
421 * 0.9 + 130 * 101 + 10000 = ___________?,A. 33500,B. 23500,C. 22500,D. 24500,B
[8 + {(21 * √9/441 – 1 /5 of 60% – 1/5) * 625 + 7} ÷ 4] = _________?,A. 10,B. 15,C. 7,D. 16,D
[3/7 of {21 * (33.33% of (27 + 3) ÷ 5) – 7} – 8] = _______?,A. 7,B. 10,C. 15,D. 49,A
[10 + {4 * ({2/3 + 1/4} * √144/121 + 23) ÷ 12 + 5} – 3] = _______?,A. 20,B. 8,C. 10,D. 15,A
[50 – {20 + 60% of (26/13 + 24/12 + 21) – 2} + 8] = 625/?,A. 25,B. 125,C. 241/5,D. 253/5,A
16.66% of 33.33% of 66.66% of ? = 30,A. 90,B. 270,C. 810,D. 240,C
12.5 + 10 1/4 of 100 ÷ 10% of 10 = ____________?,A. 1037.50,B. 1157.50,C. 103.75,D. 1038,A
(6 – 2 * 3 + 6) / (2 + 6 * 3 – 4) = _____________?,A. 9/8,B. 3/10,C. 3/5,D. 3/8,D
2/3 * 5 1/2 * 2 * 7 5/6 * 9/11 = ______________?,A. 4 9/11,B. 37,C. 47,D. 74,C
6 – [5/6 + {3 7/8 – 2 1/3 + 1 7/9}] = _____________?,A. 3 9/13,B. 1 9/11,C. 2 11/72,D. None of these,D
"Positive integers indicated by x and y satisfy 3 1/x * y 2/5 = 13 3/4, the fractions being in their lowest terms, then x = ? and y = ____________?","A. x = 4, y = 8","B. x = 4, y = 4","C. x = 2, y = 4","D. x = 8, y = 4",D
"If (461+ 462+ 463+ 464) is divisible by ?, then ? =_____________?",A. 3,B. 11,C. 13,D. None of these,D
(830 + ? * 3 * 14 / 100) – (830 * 14 * 3 / 100) = 20.16,A. 24,B. 36,C. 48,D. None of these,D
"If x % of 80 = 20% of y, then x = ? and y = ?","A. x = 20, y = 20","B. x = 20, y = 40","C. x = 20, y = 80",D. Cannot be determined,D
(84 ÷ 14 ÷ 2 ÷ 9) * ? = 33⅓,A. 100,B. 300,"C. 90,000","D. 10,000",A
The Total cost of flooring a room at Rs.8.50 per square meter is Rs.510. If the length of the room is 8km it’s breadth is__________?,A. 7.5m,B. 8.5m,C. 10.5m,D. 12.5m,A
