question,A,B,C,D,correct_answer
Who is the current SG of NATO?,A. Mark Rutte,B. Jens Stoltenberg,C. Kristilina,D. Emanuel,A
USA’s second biggest city is,A. Seattle,B. Atlanta,C. Newyork city,D. Los Angeles,D
CATL stands for,A. Chinese All in one Technology Co. Limited,B. Coercive Ambient Technology Co. Limited,C. Contemporary Amperex Technology Co. Limited,D. Cyniong Alegrabi Technology Co. Limited,C
Which of the following is/are not founding member of BRICS?,A. Brazil,B. Russia,C. India,D. South Africa,D
The maximum height of the Karoonjhar Mountain is,A. 506 m,B. 403 m,C. 305 m,D. 204 m,C
Which article of NATO’s founding treaty is a commitment that an attack on one member country will be considered an attack on the entire alliance?,A. Article 4,B. Article 5,C. Article 6,D. Article 7,B
First and only time when Article 5 of NATO’s founding treaty was invoked?,A. 9/11,B. Just before end of cold war,C. Just after end of cold war,D. None of the above,A
Which island is shared by Germany and Poland?,A. Olowianka,B. Usedom,C. Slodowa,D. None of the above,B
The longest EU-funded underwater tunnel in Europe opened in Poland will connect which two islands?,A. Usedom and Wolin,B. Ostro and Konski,C. Port and Chelminek,D. Olowianka and Karsibor,A
A peace treaty that ended the thirty-year conflict between Egypt and Israel is called?,A. Oslo Accords,B. Abraham Accords,C. Camp David Accords,D. Peace Process Accords,C
Who is the longest serving ruler of Indonesia?,A. General Suharto,B. Joko Widodo,C. Sukamo,D. None of These,A
The height of Manaslu mountain is,"A. 8163m/26,781ft","B. 8516m/27,940ft","C. 8463m/27,766ft","D. 8167m/26,795ft",A
The height of Cho Oyu mountain is,"A. 8586m/28,169ft","B. 8516m/27,940ft","C. 8463m/27,766ft","D. 8201m/26,906ft",D
The height of Lhotse mountain is,"A. 8586m/28,169ft","B. 8516m/27,940ft","C. 8463m/27,766ft","D. 8848m/29,028ft",B
The height of Kanchenjunga is,"A. 8586m/28,169ft","B. 8516m/27,940ft","C. 8463m/27,766ft","D. 8848m/29,028ft",A
The height of Annapurna-I is,"A. 8035m/26,362ft","B. 8047m/26,400ft","C. 8091m/26,545ft","D. 8047m/26,469ft",C
The height of Gasherbrum-II is,"A. 8035m/26,362ft","B. 8047m/26,400ft","C. 8091m/26,545ft","D. 8047m/26,469ft",A
Great Barrier Reef Australia is known as,A. Pearl of the Fraser,B. Pearl of the Crown,C. Pearl of the Ocean,D. Pearl of the Ayres,B
The orange river flows in,A. South Africa,B. Indonesia,C. Egypt,D. Mexico,A
Summer equinox occur on,A. 21 June,B. 22 September,C. 22 December,D. None of These,A
What is an other name of famous and largest island of Pakistan?,A. Seven Hills Island,B. Jazeira Haft Talar,C. Astola Island,D. All Of These,D
Which G-20 member countries did not attend the G20 Kashmir summit 2023?,A. Saudi Arabia,B. Turkey,C. China,D. All of these,D
Kennedy Space Center is located in,A. Beijing,B. Moscow,C. Florida,D. None,C
NAFTA Stands for,A. North American Free Trade Agreement,B. North American Fundamental Trading Agreement,C. North Atlantic Fundamental Trading Agreement,D. North Atlantic Free Trade Agreement,A
SUPARCO was founded in,A. 1961,B. 1963,C. 1962,D. None of these,A
Rome is the capital of Italy is located on the river,A. Danube,B. Rhine,C. Tiber,D. Po,C
All of the Following Countries are the Members of TAPI – Gas pipeline Project Except:,A. Pakistan,B. Afghanistan,C. Tajikistan,D. India,C
‘International nurses day’ is observed on,A. 12 May,B. 12 April,C. 12 march,D. 12 February,A
Armistice line was created in 1949 between?,A. Israel and Egypt,B. Poland and Germany,C. Israel and Palestine,D. Frand and UK,A
Dashat e Margo desert (desert of death ) is located at,A. USA,B. Iran,C. Afghanistan,D. none of these,C
"Where can you find Ayers Rock, Uluru National Park?",A. Australia,B. Spain,C. Poland,D. Germany,A
Which one of the following day marks on 17 April:,A. UN day,B. Hunger day,C. Palestinian prisoner day,D. None,C
Which of the following are Official Languages of SCO are:,"A. English, Arabic, Chinese","B. English, Russian","C. Russian, Chinese",D. None of These,C
Total numbers of Sustainable Development Goals (SDGs) are:,A. 10,B. 15,C. 17,D. None,C
A child born after the death of his/her father?,A. A waif,B. A posthumous Child,C. An orphan Child,D. None of these,B
Which Organisation has released the world development report 2023?,A. World Bank,B. UNESCO,C. UNO,D. SCO,A
3 May is observed Internationally as,A. Labour Day,B. Environment Day,C. Earth Day,D. Press Freedom Day,D
India’s first bone marrow doner (male) is,A. Salman Khan,B. Ravi Kapoor,C. Ramesh Oberoi,D. Venkatesh Rana,A
The first case of monkeypox in humans was recorded in which country?,A. Kenya,B. Nigeria,C. Democratic Republic of Congo,D. India,C
Peace Pipeline is another name of:,A. Iran-Pakistan,B. Russia-Serbia,C. China-Pakistan,D. Pakistan-Russia,A
What is the Islamic date of independence of Pakistan?,"A. Ramadan 25, 1366 AH","B. Ramadan 27, 1367 AH","C. Ramadan 27, 1366 AH","D. Ramadan 27, 1368 AH",C
Ease of doing business report published by,A. World Economic Forum,B. World Trade Organization,C. IMF,D. World Bank,D
Which is the only majority Muslim member of the NATO alliance?,A. Macedonia,B. Turkey,C. Albania,D. Spain,B
The master plan of Islamabad was prepared by:,A. S.B Zisman,B. C.A Doxiadis,C. Patrick Geddes,D. Ebenzer Howard,B
“The Silk Roads: A New History of The World” is written by,A. XI JinPing,B. Joe Bidden,C. Peter Frankopan,D. David Ricardo,C
What is the name of World Largest Artificial Forest?,A. Al-Khair,B. Changa Manga,C. Living Forest,D. Saihanba National Forest Park (China),D
Five Eyes Intelligence-sharing Alliance include:,"A. Iran,China,UAE,Russia,North Korea","B. Israel,US,UK,Japan,Finland","C. US,Australia, Canada, New Zealand, UK",D. None of These,C
The Wailing Wall is situated in,A. Jerusalem,A. india,C. Tajikistan,D. syria,A
“How to Avoid Climate Disaster” is written by,A. Elon Musk,B. Bill Gates,C. Deewey,D. Shahid Khan,B
“Pakistan Beyond the Crisis State” is written by,A. Z.A Bhutto,B. Aitzaz Ahsan,C. Maleeha Lodhi,D. William Dalrymple,C
The Treaty of Portsmouth was signed between Russia and Japan in?,"A. September 5, 1904","B. September 4, 1905","C. September 5, 1906","D. September 5, 1905",D
Myanmar is a country located in?,A. South East Asian,B. South Asian,C. For Asian,D. Middle East Asian,A
Tha Mamluk Dynasty (also called Slave Dynasty) ruled from 1206 to 1290 was founded by?,A. Khizr Khan,B. jalal Ud-Din Feruz,C. Ghiyath ul-Din,D. Qutb ud-Din Aibak,D
International Criminal Court was,A. 2001,B. 2002,C. 2003,D. 2004,B
World Rainforest day is observed every year on?,A. 20 August,B. 15 May,C. 22 June,D. None of These,C
How many countries does the prime meridian pass through?,A. 8,B. 7,C. 6,D. 4,A
Where is the bronze statue of Columbo and ‘dog’ located?,"A. London, UK","B. Newyork, US","C. Paris, France","D. Budapest, Hungary",D
In which game does the Spanish opening take place?,A. Chess,B. Curling,C. Baseball,D. Golf,A
What is the snowman’s nose made out of traditionally made out of?,A. Potato,B. Tomato,C. Carrot,D. Orange,C
Which kind of race is the annual ‘Giro d’Italia’?,A. Indian,B. Austrian,C. German,D. Italian,A
Baigue is a type of which sport popular among Turkish people?,A. Volleyball,B. Cycling,C. Martial Art,D. Horse racing,D
Which mountain range gets its name from the Sanskrit language meaning ‘abode of snow’?,A. Karakoram,B. Hindukush,C. Ural,D. Himalayas,D
What should a Javanese couple do in order to get married?,A. Plant 5 trees,B. Free 5 birds,C. Free 5 animals,D. Visit 5 countries,A
Formosa is the old name of,A. Mongolia,B. Thailand,C. Japan,D. Taiwan,D
Which of the following countries are in conflict with India on water sharing issue?,A. Pakistan,B. Bangladesh,C. Nepal,D. All Of Them,D
Zia Mohyeddin in English movies “Immaculate Conception” played the role of:,A. Beggar,B. Clown,C. Transgender,D. Alcoholic,C
Which country features a shipwreck on its national flag?,A. Bermuda,B. Denmark,C. Russia,D. China,A
Durand line b/w Pakistan and Afghanistan was demarcated in which year?,A. 1891,B. 1893,C. 1895,D. 1897,B
Tear Lake also known as Ansoo Lake is located in which valley of Pakistan?,A. Gilgit Valley,B. Kailash Valley,C. Kaghan Valley,D. Neelum Valley,C
Siam Center is in,A. Istanbul,B. Rom,C. Bangkok,D. New York,C
The headquarter of ASEAN,A. Katmandu,B. Jakarta,C. New York,D. Geneva,B
East India Company was established in?,A. 1627,B. 1628,C. 1629,D. None of these,B
French East India Company was established in,A. 1663,B. 1664,C. 1665,D. 1666,B
Which of the following can survive centuries,A. Butter,B. Cheese,C. Honey,D. Yogurt,C
In which year Taj Mahal was listed as one of the 7 Wonders of the World,A. 2005,B. 2006,C. 2007,D. 2008,C
The construction of Taj Mahal involved how many workers:,"A. 10,000","B. 20,000","C. 60,000","D. 80,000",B
Taj Mahal is located on the south bank of the,A. Yamuna River,B. Indus River,C. Jehlum River,D. Chenab River,A
When the construction of Taj Mahal was completed b/w:,A. 1632-48,B. 1636-50,C. 1532-46,D. 1432-48,A
Which province of Afghanistan is the highest opium producer?,A. Helmand,B. Baghlan,C. Jalalabad,D. Kunar,A
The Euro currency is used by how many countries,A. 18,B. 19,C. 20,D. None of These,C
The Largest Continent (by Area) of the World is,A. Asia,B. Europe,C. Africa,D. North America,A
The second Largest Continent (by Area) of the World is,A. Asia,B. Europe,C. Africa,D. North America,C
The Earth surface is divided into how many Continents,A. 5 Continents,B. 6 Continents,C. 7 Continents,D. 8 Continents,C
Saba is the news agency of,A. Indonesia,B. Syria,C. Yemen,D. Jordan,C
SANA is the news agency of,A. Saudi Arabia,B. UAE,C. Syria,D. Yemen,C
The Nobel Peace Prize 2012 in the field of “Peace” was awarded to?,A. European Union (EU),B. North Atlantic Treaty Organisation (NATO),C. Organisation for the Prohibition of Chemical Weapons (OPCW),D. United Nations Security Council,A
What was the nationality of Alfred Nobel?,A. American,B. British,C. German,D. Swedish,D
The smallest Sea of the World is,A. Dead Sea,B. Red Sea,C. Baltic Sea,D. Arabian Sea,C
Yellow Sea lies between,A. America and Canada,B. England and France,C. China and Korea,D. Norway and Sweden,C
Organization of Islamic Cooperation (OIC) has,A. 1,B. 2,C. 3,D. 4,C
The biggest Island of the World is,A. Iceland,B. Greenland,C. England,D. Sri Lanka,B
The headquarter of Transparency International is in,A. Amserdam,B. Geneva,C. London,D. Berlin,D
Name the only secretary general of UN who resigned from his post?,A. Mrs Vijay Lakshmi pandit,B. Trygve Lie,C. Kofi Annan,D. U. Thant,B
There are how many non-permanent members of the security council,A. 5,B. 7,C. 10,D. 15,C
The Nobel Prize has been awarded in,A. 5,B. 6,C. 7,D. 8,B
The first Nobel Prize was awarded in,A. 1895,B. 1901,C. 1907,D. 1913,B
The headquarter of Amnesty International is in,A. Amserdam,B. Geneva,C. London,D. Berlin,C
The deepest part of the Earth is,A. Dead Sea,B. Mariana Trench,C. South Africa,D. South Pole,B
The lowest part of the Earth is,A. Dead Sea,B. Mariana Trench,C. South Africa,D. South Pole,A
The highest part of the Earth is,A. Mount Everest,B. K2,C. Norway,D. North Pole,A
The permanent Secretariat of OIC is located in,A. Makkah,B. Madina,C. Jeddah,D. Riyadh,C
The largest democratic country in the world is,A. United States,B. United Kingdom,C. China,D. India,D
The currency of Israel is,A. Euro,B. Shekel,C. Forint,D. Krone,B
Which from the following countries is NOT a member of European Union?,A. Norway,B. Ireland,C. Malta,D. Estonia,A
Suez Canal is between,A. Arabian Sea and Red Sea,B. Red Sea and North Sea,C. Mediterranean Sea and North Sea,D. Mediterranean Sea and Red Sea,D
The most powerful organ of United Nations is,A. General Assembly,B. Security Council,C. Secretariat,D. International Court of Justice,B
Which from the following countries does NOT yield veto-power?,A. United States,B. United Kingdom,C. Canada,D. France,C
Which from the following countries is NOT a member of D-8?,A. India,B. Pakistan,C. Nigeria,D. Turkey,A
Pakistan’s first coin was issued in,A. 1948,B. 1949,C. 1950,D. none of these,A
The capital of Czech Republic is?,A. Nicosia,B. Dublin,C. Bern,D. Prague,D
Vienna is the capital of,A. Austria,B. Switzerland,C. Cyprus,D. Denmark,A
Which country is called the “Land of thousand Lakes”?,A. Indonesia,B. Finland,C. Iceland,D. Scotland,B
Which country is called the “Land of Golden Fibre”?,A. United States,B. South Korea,C. Bangladesh,D. India,C
Indonesia is an archipelago comprising approximately,"A. 10,000","B. 12,500","C. 15,000","D. 17,508",D
Which country is called “Land of thousand islands”?,A. Malaysia,B. Indonesia,C. Ireland,D. Finland,B
World’s famous bridge “Golden Gate” is in,A. San Francisco,B. New Delhi,C. France,D. Sydney,A
World Trade Organization was established in,A. 1980,B. 1985,C. 1990,D. 1995,D
Montreal massacre took place in,A. 4 December 1989,B. 5 December 1989,C. 6 December 1989,D. None of These,C
Which is the national bird of Pakistan,A. Markhor,B. Parrot,C. Pigeon,D. chukar,D
When did Fatima Jinnah joined All India Muslim league?,A. 1939,B. 1927,C. 1947,D. 1949,A
Which is the largest freshwater lake In the world?,A. Lake Superior,B. Lake Victoria,C. Great Bear Lake,D. None of these,A
"The world’s longest bridge, Danyang–Kunshan Grand Bridge, is in",A. United States,B. Russia,C. China,D. Canada,C
First ever graveyard of deer located in:,A. Punjab,B. Sindh,C. Balochistan,D. KPK,B
Etihad Airways is an airline of,A. United Arab Emirates,B. Qatar,C. Russia,D. Canada,A
KLM is an airline of,A. Australia,B. Germany,C. Netherlands,D. Austria,C
Which is the longest river of Pakistan?,A. River Ravi,B. Indus River,C. River Cheenab,D. River Jehlum,B
"The US longest bridge over water, Lake Pontchartrain Causeway, is in",A. Louisiana,B. Maryland,C. New Jersey,D. Alabama,A
Where the biggest Salt Mine located in Pakistan,A. Mangora,B. Jhelum,C. Sawat,D. None of these,B
Dragon Air is an airline of,A. Japan,B. South Korea,C. North Korea,D. Hong Kong,D
Almost 200 million years ago the seven continents were single landmass called,A. Pangaea,B. Gondwana,C. A and B,D. None,A
Capital of United States is,A. Washington Dc,B. Alaska,C. Hawaii,D. California,A
Capital of China is,A. Beijing,B. Shanghai,C. Both,D. None,A
Ryanair airline belongs to which Country?,A. Finland,B. Ireland,C. Switzerland,D. Tajikistan,B
Delta is the Airline of,A. Britain,B. United States,C. Australia,D. Switzerland,B
Ariana is airlines of which country?,A. China,B. Indonesia,C. Pakistan,D. Afghanistan,D
SIA is the airline of which country,A. USA,B. Singapore,C. UK,D. China,B
BIMAN is an airline of,A. Sri Lanka,B. Afghanistan,C. Bangladesh,D. None of these,C
Qantas is an airline of,A. Saudi Arabia,B. Australia,C. UAE,D. Malaysia,B
Air Europa is an Airline of which country?,A. Europe,B. Spain,C. Bangkok,D. Thailand,B
Aegean Airline is belongs to which country?,A. Greece,B. Canada,C. France,D. Japan,A
Lufthansa airline belongs to,A. Latvia,B. Germany,C. Lithuania,D. Republic of Korea,B
Air Deccan,A. Srilankan,B. India,C. Saudi Arabia,D. none of these,B
Cinnamon air is the airline of which country?,A. Somalia,B. Iran,C. Iraq,D. Srilanka,D
Kish Air is the airline of which country?,A. Israel,B. Indonesia,C. Iran,D. Iraq,C
Porter Airlines is the Airline of which country,A. South Africa,B. Philippines,C. Canada,D. Portugal,C
Amapola Flyg is the airline of,A. Slovenia,B. Thailand,C. Malaysia,D. Sweden,D
Buraq Air is an airline of,A. Libya,B. Syria,C. Jordan,D. Turkey,A
Mention the unique airlines whose international planes fitted with anti-missile equipment?,A. Aeroflot,B. KLM,C. EL AL,D. Eva Air,C
Airbaltic is an Airline of which country?,A. Pakistan,B. Lativa,C. US,D. None of These,B
JAT Airways is the international Airlines of which country?,A. Pakistan,B. Serbia,C. Russia,D. Germany,B
Bhoja Air was the Airline of which country?,A. Pakistan,B. Bangladesh,C. Iran,D. India,A
Aer Lingus is the national airline of which country,A. Republic of Liberia,B. Republic of Ireland,C. Republic of Chile,D. Republic of China,B
Freedom Air is an airline of,A. South Korea,B. South Africa,C. New Zealand,D. None of these,C
The headquarter of NATO is located in,A. New York,B. Paris,C. Geneva,D. Brussels,D
Easyjet airline belongs to which Country?,A. UK,B. France,C. Germany,D. Australia,A
Braathens airline belong to which Country?,A. Sweden,B. Norway,C. Iceland,D. Uraguay,A
Iberia Airline belong to which Country?,A. Spain,B. Poland,C. Serbia,D. Latvia,A
Asiana Airlines is an airline of,A. Afghanistan,B. South Korea,C. Syria,D. Iraq,B
War of pallasey was fought,A. 23 June 1757,B. 23 October 1756,C. 23 December 1557,D. 26 July 1764,A
War of buxer was fought,A. 1565,B. 1657,C. 1764,D. 1761,C
Island aviation services is the government runs airlines of,A. Maldives,B. Indonesia,C. Malaysia,D. Greece,A
One-Two-Go Airlines was the airline of which country?,A. Japan,B. Thailand,C. France,D. India,B
Pakistan’s National Flag was prepared by,A. Abdur-rehaman Chugtai,B. Liaqat Ali,C. Chaudhary Rehmat Ali,D. Ameer-ud-din Qadwai,D
“Seville” is the famous city of,A. UK,B. Spain,C. France,D. Russia,B
"Besides Luxury cars,Rolls Royce is also known for?",A. Missiles,B. Tanks,C. Aerospace engines,D. Aircraft,C
ESPN is one of the biggest satellite TV networks.It stands for?,A. Entertainment and Sports Programming Network,B. European and Sports Programming Network,C. Educational and Sports Programming Network,D. None of These,A
Which company gifted the world a product called “Scooter”?,A. Honda,B. Harley Davidson,C. Lambretta Auto LTD,D. Piaggio spa,D
Which company gifted “cornflakes” to the world?,A. Pepsi foods,B. Kellogg’s,C. McDonald’s,D. General foods,B
"In 1997, Hong Kong was reverted back to Chinese Rule. What does Hong Kong mean in the Mandarin Language?",A. A firm trading opium,B. A Large Trading Company,C. Fragrant Harbour,D. Both B & C,D
What were Nissan cars called before,A. Nippon,B. Datson,C. Samural,D. Honda,B
"In Britain, which organization is nicknamed “Aunty”?",A. Rolls Royce,B. London Metal Exchange,C. BBC,D. None,C
The famous novel “Frankenstein” was written by:,A. Edgar Allan Poe,B. H. G. Wells,C. Lan Fleming,D. Mary shelley,D
The location of “Vatican city” is in:,A. Germany,B. Italy,C. France,D. Ireland,B
Blue Mosque is also called,A. Masjid Nabvi,B. Masjid Al-Aqsa,C. Faisal mosque,D. Sultan Ahmed mosque,D
When Libya gained Independence from France and Italy?,A. 1943,B. 1946,C. 1951,D. None of These,C
Quaid-e-Azam Visited Islamia College Peshawar how many times,A. One,B. Two,C. Three,D. Four,C
Mir Sadiq held the post of a minister in the cabinet of,A. Tipu Sultan,B. Mohammad Ali Khan,C. Mustafa II,D. Osman III,A
An Olympic’s Flag have___ Rings on its Flag,A. 4,B. 5,C. 7,D. None of These,B
"Stonehenge is among the seven wonders of the world, situated in which country:",A. England,B. France,C. Italy,D. Germany,A
The Great Australian Bight is part of what larger body of water,A. Indian Ocean,B. Coral Sea,C. Pacific Ocean,D. Timor Sea,A
Which Strait connects Labrador sea and Baffin Bay?,A. Davis Strait,B. Denmark Strait,C. Hover Strait,D. None of these,A
Which strait separates Greenland from Canada?,A. Denmark Strait,B. Davis Strait,C. Both of these,D. None of these,B
Which mountain range is located between Caspian Sea and Black Sea?,A. Ural Mountains,B. Caucasus Mountains,C. Elbrus Mountains,D. None of these,B
National Fish of Pakistan is,A. Blue Marlin,B. Hogfish,C. Flounder,D. Mahseer,D
Tansen by profession was,A. Poet,B. Musician,C. Commander,D. None,B
Great sphinx exist in,A. Ghiza Egypt,B. UAE,C. PAKISTAN,D. None of These,A
Libya celebrates its Independence & National Day on,A. 17 December,B. 19 December,C. 22 December,D. 24 December,D
Como lake is located in which country?,A. Norway,B. Italy,C. Germany,D. Switzerland,B
Which of the following business terms is derived from the Latin word meaning “to role over”?,A. company,B. Corporation,C. Conglomerate,D. Bank,C
"NOMURA , a top financial services company, belongs to which country?",A. Japan,B. China,C. USA,D. Russia,A
The Frontier Works Organisation (FWO) was established in,A. 1977,B. 1987,C. 1966,D. 1994,C
Who has scored the most goals ever in football history?,A. Cristiano Ronaldo,B. Meradona,C. Pele,D. None of These,A
Qatar got independence in,A. 1990,B. 1999,C. 1971,D. 1965,C
Honey bee eyes are?,A. 3,B. 4,C. 5,D. None of These,C
How many members are there in SAARC?,A. 5,B. 6,C. 7,D. 8,D
Which Country from the following is NOT the member of UNO?,A. Vatican City,B. Afghanistan,C. North Korea,D. Vaitnam,A
Which is the capital of Angola?,A. Baku,B. Canberra,C. Luanda,D. Manama,C
How much containers have been used to built stadium 974?,A. 963,B. 974,C. 985,D. None of These,B
Where is stadium 974 is located?,A. England,B. Pakistan,C. Qatar,D. UAE,C
Hanging gardens in Babylon were located in Iraq which was built by which Babylonian king,A. Nebuchadnezzar,B. Nabopollasar,C. Sargon,D. Hummarbi,A
Lombard street is located in San Francisco and it is also called as,A. Crookedest street,B. Fleet street,C. Bond street,D. Harley street,A
Which is the highest airport in the world?,A. jinnah airport Karachi.,B. jida airport Saudi Arabia,C. Daocheng Yading Airport China,D. None of These,C
Which is the largest Province of Afghanistan by Population?,A. Qandhar,B. Mizar-e-Sharif,C. Kabul,D. Ghazni,C
"Hally’s comet last seen in 1986,next will be in",A. 2031,B. 3051,C. 2061,D. None of These,C
which is the smallest state of India by Population?,A. Sikkim,B. Himachal Pradesh,C. Tellanga,D. Bihar,A
Which is the largest State of India by Population?,A. Tamil Nadu,B. Maharashtra,C. Utter Pradesh,D. None of These,C
which is the smallest state of India by Area?,A. Orrisa,B. Karnataka,C. Goa,D. Kerala,C
Which is the largest state of India by Area?,A. West Bengal,B. Madhia Pardesh,C. Rajistan,D. None of These,C
Which is the smallest province of Iran by Population?,A. Gillan,B. Ilham Province,C. Kurdistan,D. Fars,B
Which is the largest province of Iran by population?,A. Sistan Balochistan,B. Khorasan-e- Rizvi,C. Kerman,D. Tehran,D
Saudi Arabia celebrates its national day on,A. September 23,B. September 25,C. September 24,D. September 21,A
Reuters is united kingdom based new agency founded by Paul Reuter in,A. 1851,B. 1817,C. 1901,D. 1830,A
What border did the Great Wall of China protect?,A. Western Border,B. Southern Border,C. Eastern Border,D. Northern Border,D
which is the smallest Province of Afghanistan by Area?,A. Pakhtia,B. Kunar,C. Kapisa,D. Herat,C
which is the largest Province of Afghanistan by Area?,A. Qandhar,B. Helmand,C. Paktika,D. Badakhshan,B
"Which of the following is the largest city situated on the Europe’s longest river, Volga?",A. Moscow,B. Baku,C. Tbilisi,D. Kazan,D
The river which passes through maximum number of countries,A. Amazon,B. Nile,C. Indus,D. Danube,D
Which state of USA is known as Sunshine State?,A. Florida,B. Washington,C. Texas,D. Alaska,A
Which Nation has hosted the Commonwealth Games five times?,A. New Zealand,B. England,C. Australia,D. None of These,C
"Imam Shamil a great Political,Military and Spiritual leader of Caucasian resistance to Imperial Russia was born in?",A. Tataristan,B. Chechnya,C. Dagestan,D. Creamia,C
Taj Mahal means ” Crown Of Palaces ” in which language?,A. Persian,B. Latin,C. English,D. None of These,A
which of the following is the oldest continuously inhabited city of Russia,A. Moscow,B. Saint Petersberg,C. Kazan,D. Derbent,D
Who was Mir Jafar?,A. Mughal Emperor,B. Commander Of Bengali Army,C. Nawab Of Bengali,D. None of These,B
Name the French sculptor who carved “The Statue of Liberty”?,A. Joseph Conrad,B. Thomas Park,C. Frederic-Auguste Bartholdi,D. William Napoleon,C
Lake Uremia is situated in ___ country?,A. Romania,B. Turkiye,C. Iran,D. Malaysia,C
Old Town Square is located in,A. Prague,B. Karachi,C. Astana,D. Dubai,A
Saint Peter’s Square located in,A. Venice,B. Paris,C. Rome,D. Shanghai,C
Time Square is Located in which of the following city?,A. New York,B. Sydney,C. Cairo,D. Madagascar,A
Khurnak Fort is under the control of which country?,A. India,B. China,C. Pakistan,D. None of these,B
The United Nations was founded on,"A. March 24, 1945","B. October 24, 1945","C. March 24, 1949","D. October 24, 1950",B
Who got the Man Booker Prize 2022?,A. David Diop’s,B. Geetanjali Shree,C. Shehan Karnutilka,D. Fatima Azim,C
Where 10 Downing Street is located?,A. United Kingdom,B. United States,C. France,D. Russia,A
BND is the intelligence agency of,A. Germany,B. France,C. Botan,D. USA,A
What is the Old name of World Bank?,A. International Bank for Development,B. International Bank for Reconstruction and Development,C. International Bank for Infrastructure and Development,D. International Bank for Design and Development,B
The Syrian city damascus is located in geographical position of the country,A. South Western,B. North Eastern,C. North Western,D. None of These,A
The word Fustat (an Egyptian City) has been derived from Greek Phossaton which means,A. Dove,B. A camp,C. Battle field,D. None of these,B
Big History Means:,A. History of Brave People,B. History of big People,C. History from the big bang to the present,D. None of these,C
Where is Karakum desert located?,A. China & Mongolia,B. Iran,C. USA & Mexico,D. Turkmenistan,D
Area of Karakum Desert Sq Miles is,"A. 350,000","B. 140,000","C. 135,000","D. 340,000",C
Currant is a,A. Tool,B. Fruit,C. Vegetable,D. None of These,B
The world’s newest country which was founded on 9 July 2011 is,A. Hong Kong,B. Myanmar,C. South Sudan,D. Papua New Guinea,C
Pakistan initiated its National Identity Card System in:,A. 1956,B. 1964,C. 1973,D. 1985,C
Dars e Nizami was named after:,A. Nizamuddin Ali,B. Maulana Nazim,C. Nizamuddin Auliya,D. Nizamuddin Sihalvi,D
What was the name of the first US atomic submarine launched in 1954?,A. Nautilus,B. Attila,C. Sea lion,D. Washington,A
Which is the longest Canal in the world with a length of 1776 km and also considered UNESCO World Heritage site,A. Grand Eurasia Canal,B. Suez Canal,C. Grand Canal,D. Qaraqum Canal,C
G7 was founded in,A. 1975,B. 1976,C. 1977,D. 1978,A
Which Pakistani fast bowler was DSP in Police?,A. Fazal Mahmoud,B. Hafeez Kardar,C. Zaheer Abbas,D. Inzamam-ul-Haq,A
Cambodia is a ___ asian country?,A. South East,B. South west,C. North South,D. None of These,A
River Sakeena Flows through:,A. Africa,B. Australia,C. South America,D. North America,D
Togo and Gabon got independence from,A. UK,B. France,C. USA,D. USSR,B
Which of the following is an ethnic religion?,A. Islam,B. Christianity,C. Judaism,D. None of these,C
"Auckland, Christchurch famous cities located in",A. US,B. Australia,C. Peru,D. New Zealand,D
Who was the British Prime minister during the revolt of 1857?,A. ChurchiLL,B. Attle,C. Palmerston,D. Gladstone,C
What was the real name of Genghis Khan?,A. Temujin,B. Hulagu khan,C. Alexandar,D. Beku king,A
The headquarters of International Olympic Committee (IOC) is located in,A. Berlin,B. Lausanne,C. London,D. Zurich,B
How many member countries are there in the Shanghai Cooperation Organisation (SCO)?,A. 7 members,B. 8 members,C. 9 members,D. None of These,C
Which country is called Land of Rainbow?,A. Indonesia,B. South Africa,C. Mexico,D. Canada,B
Kohinoor diamond was given to Queen Victoria in 1849 by,A. Maharaja Hari Singh,B. Maharaja Dileep Singh,C. Ibrahim Lodhi,D. Aurangzeb,B
International Day of Democracy is Celebrated Every Year on,A. 15 September,B. 15 October,C. 15 November,D. 15 December,A
Burushaski is a/an,A. Dish,B. Language,C. Town,D. Airline,B
Mahia Peninsula is located in,A. Australia,B. Malaysia,C. Japan,D. New Zealand,D
"Who was the leader of 1958 coup in Iraq, which led to proclamation of Iraq as a Republic?",A. Sadam Hussain,B. Nuri Al Said,C. Abdul Karim Qasim,D. None of These,C
Winnipeg Lake and Baffin Island is located in which country?,A. Australia,B. South Africa,C. Canada,D. Austria,C
Churchill River and Nelson is located in which country?,A. Canada,B. New Zealand,C. Australia,D. Switzerland,A
St. Lawrence River is located in which country?,A. Sri Lanka,B. South Africa,C. Canada,D. None of these,C
The deepest mine Moponeng Gold Mine in the world continent of,A. Africa,B. Europe,C. Asia,D. North America,A
A classic story of children’s fiction “Black Beauty” is written by:,A. John Carry,B. Anna Sewell,C. Cristina Wilferd,D. None of These,B
famous online shopping platform Amazon was founded on:,"A. April 5, 1993","B. May 5, 1993","C. July 5, 1994",D. None of These,C
Famous news channel BBC was founded on:,"A. October 18, 1922","B. November 17, 1920","C. December 16, 1918",D. None of These,A
IAEA (International Atomic Energy Agency) was founded on:,"A. June 19, 1947","B. July 29, 1957","C. August 09, 1967",D. None of These,B
Famous Golden Gate Bridge connects which two cities?,A. New York and Washington,B. San Francisco and Marin County,C. Los Angeles and Chicago,D. Boston and Las Vegas,B
California Zypher is a famous 3924 kms train route between Chicago and,A. New York,B. Washington,C. San Francisco,D. Tokyo,C
